N,beta,alpha
5,50,5.447941766848838
5,60,11.521212740036788
5,70,9.11394790825196
5,80,2.5806799350581
5,90,17.131275431981283
5,100,4.381722754846054
10,50,2.0858458764819447
10,60,1.1749237698305701
10,70,2.4946564510267955
10,80,2.099303621997536
10,90,2.045970700689533
10,100,0.939013886881196
15,50,0.9189975554574302
15,60,0.8190455883060368
15,70,0.489247626572426
15,80,0.4944115210304295
15,90,1.0432390472613065
15,100,0.626883146111411
20,50,0.28564141837805235
20,60,0.29735072917088806
20,70,0.35487850840696883
20,80,0.19577484116711272
20,90,0.43291292486543714
20,100,0.3448317327132205
25,50,0.11859306456826481
25,60,0.1023868034645617
25,70,0.10945885448191284
25,80,0.12463400431266373
25,90,0.12203679247809386
25,100,0.13712299410845352
30,50,0.0687712845007995
30,60,0.05997230384174997
30,70,0.0708463762201486
30,80,0.06134305793278124
30,90,0.07196811404239423
30,100,0.06649944991747712
