Epoch 1: Steps=300, Rewards={'agent1': 1.530052049164464, 'agent2': 1.4917012962657732, 'agent3': 1.6476477586146727, 'agent4': 1.7802223830092452, 'agent5': 1.7120418424372812, 'agent6': 1.7792630894267674, 'agent7': 1.5831569776090824, 'agent8': 1.8755415834443292, 'agent9': 1.5498420206287682, 'agent10': 1.7656664896435026}, Losses={'agent1': 5.232916, 'agent2': 5.547497, 'agent3': 5.532776, 'agent4': 5.516449, 'agent5': 5.68413, 'agent6': 5.0797286, 'agent7': 5.4711785, 'agent8': 5.326106, 'agent9': 5.453945, 'agent10': 5.050961}
Epoch 2: Steps=338, Rewards={'agent1': 1.1420945128413527, 'agent2': 1.613372662223842, 'agent3': 1.1241806737335511, 'agent4': 1.4010575776229854, 'agent5': 1.3410031122645734, 'agent6': 1.0444439882608958, 'agent7': 1.1400491479820036, 'agent8': 1.1479169318832467, 'agent9': 1.3491589942367093, 'agent10': 1.2164805014938833}, Losses={'agent1': 7.4467583, 'agent2': 7.4729953, 'agent3': 7.287864, 'agent4': 7.3308425, 'agent5': 7.663277, 'agent6': 7.2945333, 'agent7': 7.348129, 'agent8': 7.305331, 'agent9': 7.3306127, 'agent10': 7.414693}
Epoch 3: Steps=146, Rewards={'agent1': 1.8511493095413534, 'agent2': 2.8515631355566975, 'agent3': 2.8969676116581238, 'agent4': 2.905462293089436, 'agent5': 2.857268995403393, 'agent6': 3.083449649173095, 'agent7': 1.5055035262415934, 'agent8': 2.4390513765955624, 'agent9': 2.8745066568875504, 'agent10': 2.960568400600605}, Losses={'agent1': 7.617471, 'agent2': 7.729799, 'agent3': 7.883568, 'agent4': 7.8503485, 'agent5': 7.685941, 'agent6': 7.742372, 'agent7': 7.6347585, 'agent8': 7.8721128, 'agent9': 7.822716, 'agent10': 7.7288737}
Epoch 4: Steps=254, Rewards={'agent1': 2.0054450321065347, 'agent2': 1.7631108235585369, 'agent3': 1.5458388971193433, 'agent4': 1.6598999138178894, 'agent5': 1.1454159672204427, 'agent6': 1.364325078304437, 'agent7': 1.3722699660465272, 'agent8': 2.015784274315521, 'agent9': 1.7553074858786974, 'agent10': 1.506800264099132}, Losses={'agent1': 4.9921303, 'agent2': 6.0411396, 'agent3': 6.086682, 'agent4': 5.4143944, 'agent5': 6.7150507, 'agent6': 6.1714363, 'agent7': 5.996982, 'agent8': 4.5709906, 'agent9': 5.419458, 'agent10': 5.9761224}
Epoch 5: Steps=105, Rewards={'agent1': 3.3656578179292684, 'agent2': 3.698591401430989, 'agent3': 3.407278908737743, 'agent4': 3.5113178524582183, 'agent5': 2.1838063437950703, 'agent6': 3.049134283608279, 'agent7': 3.520093259114219, 'agent8': 1.9517471621773952, 'agent9': 3.888495237258682, 'agent10': 3.361296982100851}, Losses={'agent1': 1.7541621, 'agent2': 1.7352324, 'agent3': 1.706716, 'agent4': 1.764927, 'agent5': 2.4699411, 'agent6': 1.7860513, 'agent7': 1.8946607, 'agent8': 2.1989932, 'agent9': 1.826089, 'agent10': 1.7103441}
Epoch 6: Steps=125, Rewards={'agent1': 2.2442835214505332, 'agent2': 2.760293391812673, 'agent3': 2.6210218515899086, 'agent4': 2.518872055524017, 'agent5': 2.845892144138156, 'agent6': 3.4194064266954003, 'agent7': 2.009417010565755, 'agent8': 3.564142347990185, 'agent9': 2.1698146186618597, 'agent10': 2.8255364668049667}, Losses={'agent1': 1.3740784, 'agent2': 1.3450129, 'agent3': 1.3801343, 'agent4': 1.4777652, 'agent5': 1.4391528, 'agent6': 1.3663309, 'agent7': 1.355954, 'agent8': 1.3609535, 'agent9': 1.3372977, 'agent10': 1.358994}
Epoch 7: Steps=89, Rewards={'agent1': 2.807094783278954, 'agent2': 2.650626775909857, 'agent3': 3.4296562890656013, 'agent4': 2.8756717130833707, 'agent5': 3.125717632740313, 'agent6': 3.9304736357044283, 'agent7': 4.334691102991937, 'agent8': 4.54701948440509, 'agent9': 2.8011155725174968, 'agent10': 3.525310514197193}, Losses={'agent1': 1.3307403, 'agent2': 1.3485302, 'agent3': 1.2684418, 'agent4': 1.327383, 'agent5': 1.2974232, 'agent6': 1.2776145, 'agent7': 1.3565184, 'agent8': 1.2996745, 'agent9': 1.3678048, 'agent10': 1.3338559}
Epoch 8: Steps=135, Rewards={'agent1': 3.5729492196733217, 'agent2': 1.9706430968535422, 'agent3': 1.9490338284169682, 'agent4': 1.9298374258283528, 'agent5': 1.5633109532935257, 'agent6': 2.3705725469500227, 'agent7': 2.716221575990149, 'agent8': 1.5797327806121555, 'agent9': 2.613437245893496, 'agent10': 1.7125307209816982}, Losses={'agent1': 1.219524, 'agent2': 1.2474458, 'agent3': 1.3002939, 'agent4': 1.3323534, 'agent5': 1.2213885, 'agent6': 1.2626134, 'agent7': 1.2185879, 'agent8': 1.2992315, 'agent9': 1.2935985, 'agent10': 1.3218989}
Epoch 9: Steps=89, Rewards={'agent1': 3.1804238103403475, 'agent2': 2.8415294103067272, 'agent3': 3.328795102770022, 'agent4': 3.6959497210102565, 'agent5': 3.1686598192526314, 'agent6': 4.59657158877864, 'agent7': 3.8532488939941647, 'agent8': 3.784118670776119, 'agent9': 4.448983177631027, 'agent10': 3.0358148049556264}, Losses={'agent1': 1.0425617, 'agent2': 1.1376249, 'agent3': 1.1043677, 'agent4': 1.103049, 'agent5': 1.0291278, 'agent6': 1.0858878, 'agent7': 1.0754622, 'agent8': 1.0429854, 'agent9': 1.0224617, 'agent10': 1.0692244}
Epoch 10: Steps=80, Rewards={'agent1': 2.6004902753990295, 'agent2': 3.0988831966877424, 'agent3': 3.4466932657418994, 'agent4': 3.980673901455906, 'agent5': 2.8243336502167447, 'agent6': 3.911801958962684, 'agent7': 3.8777129546069373, 'agent8': 4.182595917735566, 'agent9': 3.738727529914366, 'agent10': 3.05627813395279}, Losses={'agent1': 0.8308934, 'agent2': 0.8198158, 'agent3': 0.8558507, 'agent4': 0.77747715, 'agent5': 0.8363107, 'agent6': 0.8131283, 'agent7': 0.8017182, 'agent8': 0.79824334, 'agent9': 0.80350673, 'agent10': 0.91764146}
Epoch 11: Steps=87, Rewards={'agent1': 3.4591158675032965, 'agent2': 3.8583466683963294, 'agent3': 4.843635968219039, 'agent4': 3.8152157916121148, 'agent5': 4.030851373758184, 'agent6': 3.318996765195191, 'agent7': 3.8643065424782255, 'agent8': 3.4584331267601462, 'agent9': 3.8996445304506384, 'agent10': 4.176905902138875}, Losses={'agent1': 0.6744021, 'agent2': 0.6444507, 'agent3': 0.6855166, 'agent4': 0.68979466, 'agent5': 0.6525502, 'agent6': 0.6843552, 'agent7': 0.6843947, 'agent8': 0.66160977, 'agent9': 0.6788356, 'agent10': 0.6957932}
Epoch 12: Steps=87, Rewards={'agent1': 1.5455613812501527, 'agent2': 2.9474389602465756, 'agent3': 2.6279341535705747, 'agent4': 2.980781018264714, 'agent5': 3.6960302311488613, 'agent6': 3.945726129103125, 'agent7': 4.033947429231268, 'agent8': 2.9431984562525835, 'agent9': 2.765646210648956, 'agent10': 3.168861258151492}, Losses={'agent1': 0.7038033, 'agent2': 0.6286583, 'agent3': 0.6155439, 'agent4': 0.66943854, 'agent5': 0.6691126, 'agent6': 0.6523853, 'agent7': 0.6248737, 'agent8': 0.61439806, 'agent9': 0.6687033, 'agent10': 0.6720292}
Epoch 13: Steps=95, Rewards={'agent1': 4.40389900959048, 'agent2': 2.328634802716263, 'agent3': 3.2419545848679587, 'agent4': 3.6683188680268675, 'agent5': 3.0070105103950135, 'agent6': 3.892758843655153, 'agent7': 4.290489685166156, 'agent8': 2.253562299041686, 'agent9': 2.6854076448288673, 'agent10': 3.6842122895742837}, Losses={'agent1': 0.5789346, 'agent2': 0.5497398, 'agent3': 0.56127036, 'agent4': 0.61287344, 'agent5': 0.6037547, 'agent6': 0.5737225, 'agent7': 0.56525415, 'agent8': 0.6300043, 'agent9': 0.59920615, 'agent10': 0.5955927}
Epoch 14: Steps=82, Rewards={'agent1': 2.8049066195766397, 'agent2': 3.687898643778768, 'agent3': 3.1454497593424846, 'agent4': 3.0175677036719293, 'agent5': 3.5607477215329646, 'agent6': 3.276810490778458, 'agent7': 3.7768838154571123, 'agent8': 3.179203092897173, 'agent9': 3.1780530199956023, 'agent10': 4.4797841764859365}, Losses={'agent1': 0.6194021, 'agent2': 0.59155685, 'agent3': 0.55971485, 'agent4': 0.5798113, 'agent5': 0.5567709, 'agent6': 0.6049723, 'agent7': 0.59599644, 'agent8': 0.61568105, 'agent9': 0.5222208, 'agent10': 0.5798967}
