2026-02-27 00:02:10 | INFO | RISK | 2026-02-27 00:02:10.747695 | Score: 39.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $101.62
2026-02-27 00:02:10 | INFO | RISK | 2026-02-27 00:02:10.873562 | Score: 44.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $89.17
2026-02-27 00:02:11 | INFO | RISK | 2026-02-27 00:02:11.263364 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $78.70
2026-02-27 00:02:11 | INFO | RISK | 2026-02-27 00:02:11.935733 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $91.69
2026-02-27 00:02:14 | INFO | RISK | 2026-02-27 00:02:14.946270 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $197.25
2026-02-27 00:02:40 | INFO | RISK | 2026-02-27 00:02:40.946512 | Score: 39.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $101.62
2026-02-27 00:02:41 | INFO | RISK | 2026-02-27 00:02:41.058951 | Score: 44.5 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $89.17
2026-02-27 00:02:41 | INFO | RISK | 2026-02-27 00:02:41.392566 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $78.70
2026-02-27 00:02:41 | INFO | RISK | 2026-02-27 00:02:41.790926 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $91.69
2026-02-27 00:02:44 | INFO | RISK | 2026-02-27 00:02:44.080983 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $197.25
2026-02-27 00:07:43 | INFO | RISK | 2026-02-27 00:07:43.392256 | Score: 37.0 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $117.97
2026-02-27 00:07:43 | INFO | RISK | 2026-02-27 00:07:43.539434 | Score: 35.0 | Vol Risk: 40.0 | Liq Risk: 20.0 | VaR: $91.75
2026-02-27 00:07:43 | INFO | RISK | 2026-02-27 00:07:43.787307 | Score: 45.0 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $48.24
2026-02-27 00:07:43 | INFO | RISK | 2026-02-27 00:07:43.856029 | Score: 34.5 | Vol Risk: 45.0 | Liq Risk: 20.0 | VaR: $61.25
2026-02-27 00:07:44 | INFO | RISK | 2026-02-27 00:07:44.269523 | Score: 37.0 | Vol Risk: 35.0 | Liq Risk: 20.0 | VaR: $82.96
2026-02-27 00:07:44 | INFO | RISK | 2026-02-27 00:07:44.436337 | Score: 41.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $90.63
2026-02-27 00:07:44 | INFO | RISK | 2026-02-27 00:07:44.658663 | Score: 39.5 | Vol Risk: 50.0 | Liq Risk: 20.0 | VaR: $87.50
2026-02-27 00:07:44 | INFO | RISK | 2026-02-27 00:07:44.753260 | Score: 47.5 | Vol Risk: 60.0 | Liq Risk: 20.0 | VaR: $118.17
2026-02-27 00:07:45 | INFO | RISK | 2026-02-27 00:07:45.036124 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $192.92
2026-02-27 00:07:45 | INFO | RISK | 2026-02-27 00:07:45.107947 | Score: 38.0 | Vol Risk: 70.0 | Liq Risk: 20.0 | VaR: $188.99
